validation_row,source_example_id,source_split,task_type,operation_group,scenario,tool_call_count,deck_id,source_pack_id,deck_identity,original_user_request,confirmation_gated,deck_recovered,deck_slide_count,expected_slide_no,expected_arguments,rewrite_type,rewritten_user_request,hardness_score,hardness_tags,difficulty,eligible,selected,selected_task_id,exclusion_reason,selection_status
1,editing::batch_03::edit_deck_78d5ab53fdf0__adapt_for_5_min_001,validation,deck_editing,edit_content|edit_content,adapt_for_5_min,2,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,I only have 5 minutes to present this. Can you tighten the deck to fit?,true,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
2,editing::batch_03::edit_deck_78d5ab53fdf0__change_layout_001,validation,deck_editing,set_layout,change_layout,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Slide 3 is a long bullet list. Could you give it a more structured layout?,false,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
3,editing::batch_03::edit_deck_78d5ab53fdf0__delete_redundant_slide_001,validation,deck_editing,delete_slide,delete_redundant_slide,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Slide 7 feels redundant. Can you remove it to make the deck a bit shorter? Thanks!,true,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
4,editing::batch_03::edit_deck_78d5ab53fdf0__delete_redundant_slide_002,validation,deck_editing,delete_slide,delete_redundant_slide,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Slide 8 feels redundant. Can you remove it to make the deck a bit shorter? Thanks!,true,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
5,editing::batch_03::edit_deck_78d5ab53fdf0__expand_slide_001,validation,deck_editing,edit_content,expand_slide,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Hi — slide 7 (“Comparative Analysis of Urban Green Infrastructure and Alternative Air Quality Interventions”) is a bit thin. Can you develop it a little more using the same source?,false,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
6,editing::batch_03::edit_deck_78d5ab53fdf0__improve_slide_001,validation,deck_editing,edit_slide,improve_slide,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Slide 7 feels weak. Can you make it better?,true,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
7,editing::batch_03::edit_deck_78d5ab53fdf0__insert_transition_slide_001,validation,deck_editing,insert_slide_after,insert_transition_slide,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Could you add a short transition slide after slide 3 to introduce the next part? Thanks!,true,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
8,editing::batch_03::edit_deck_78d5ab53fdf0__insert_transition_slide_002,validation,deck_editing,insert_slide_after,insert_transition_slide,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Could you add a short transition slide after slide 5 to introduce the next part? Thanks!,true,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
9,editing::batch_03::edit_deck_78d5ab53fdf0__move_for_flow_001,validation,deck_editing,move_slide,move_for_flow,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Could you move slide 10 to right after slide 3 to improve the flow? Thanks!,true,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
10,editing::batch_03::edit_deck_78d5ab53fdf0__move_for_flow_002,validation,deck_editing,move_slide,move_for_flow,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Could you move slide 9 to right after slide 3 to improve the flow? Thanks!,true,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
